Area KmSq,Perimeter m,Latitude,Longitude,ID,Town,Tree Count,Ash,Atlantic white cedar,Basswood,Beech,Birch,Black gum/sweet gum,Cedar/juniper,Cherry,Chestnut,Dogwood,Elm,Fir,Hemlock,Hickory,Ironwood,Maple,Oak,Other hardwood,Pine,Poplar,Tulip poplar,Spruce,Sycamore,Tamarack,Walnut
291.217,68693.05739,44.91,-70.93,85,Magallowa,122,5,0,0,9,32,0,13,0,0,0,0,10,4,0,0,11,0,0,4,3,0,31,0,0,0
280.3,67024.56945,45.37952,-72.36798,86,Stukeley,37,2,0,0,14,2,0,1,0,0,0,1,0,2,0,0,5,0,0,2,0,0,7,0,0,1
176.613,56658.94609,41.26,-74.64,87,Wantage T,377,20,0,1,4,0,1,0,0,20,0,1,0,0,47,0,4,273,1,4,0,1,0,0,0,0
157.117,56349.85008,41.11,-74.56,88,Hardyston,186,10,0,0,0,3,1,0,1,22,0,0,0,0,18,0,10,113,1,4,0,1,1,0,1,0
336.691,87382.67905,41.11,-74.26,89,Franklin,150,2,0,0,5,10,2,0,0,5,0,1,0,0,16,0,11,92,2,2,0,2,0,0,0,0
939.721,165520.7059,40.9,-74.96,90,Warren _,199,2,0,0,1,2,0,0,0,12,1,1,0,2,48,0,3,122,1,2,0,1,0,1,0,0
583.042,113731.7663,40.21,-74.34,91,Freehold,115,1,0,0,0,1,1,0,0,2,0,0,0,0,2,0,16,70,10,10,0,2,0,0,0,0
273.419,92893.88788,40.66,-74.3,92,Elizabeth,317,9,0,1,7,1,2,0,0,31,0,2,0,0,37,0,14,203,0,0,0,2,0,1,0,7
155.903,52356.74376,41.02,-74.24,93,Saddle Ri,104,2,0,0,2,1,1,0,0,4,0,1,0,0,9,0,7,76,0,0,0,1,0,0,0,0
512.584,135634.3966,40.83,-74.23,94,Essex Co.,173,2,0,0,9,10,2,0,0,6,0,1,0,0,9,0,11,119,1,2,0,1,0,0,0,0
996.885,162625.1163,40.44,-74.4,95,Midl'sx C,193,2,0,0,0,2,2,0,0,12,0,1,0,0,8,0,6,139,2,18,0,1,0,0,0,0
830.916,162016.933,40.54,-74.63,96,Somerset,116,0,0,0,6,6,1,0,0,2,0,1,0,0,14,1,2,76,2,1,0,2,0,1,0,1
241.247,70946.19835,44.56,-68.49,97,Ellsworth,278,4,0,0,89,40,0,12,0,0,0,0,5,47,0,0,19,1,2,5,0,0,54,0,0,0
102.422,70944.25278,44.5,-68.54,98,Surry com,100,0,0,0,7,13,0,1,0,0,0,0,9,4,0,0,9,7,0,14,1,0,35,0,0,0
113.346,46609.28996,44.3937,-69.4416,99,Palmero,116,5,0,1,37,18,0,0,1,0,0,1,0,23,0,0,13,0,1,1,0,0,15,0,0,0
81.2115,43060.88294,44.0517,-69.5714,100,Newcastle,151,1,0,0,11,15,0,1,3,0,0,1,0,26,0,0,8,34,0,39,3,0,9,0,0,0
92.7835,44411.86333,43.96,-69.97,101,Topsham,54,1,0,1,11,5,0,0,0,0,0,2,3,4,0,0,5,5,1,8,0,0,8,0,0,0
118.495,43681.83996,43.8859,-70.353,102,New Bosto,76,3,0,0,19,5,0,0,0,0,0,0,4,13,0,1,5,4,0,7,9,0,6,0,0,0
127.037,55406.99049,43.65,-70.54,103,Buxton _N,167,9,0,1,26,8,0,0,0,0,0,2,3,19,0,2,31,27,2,22,10,0,5,0,0,0
129.512,56347.45037,43.5833,-70.3517,104,Scarborou,482,12,0,2,56,29,0,0,2,0,0,4,7,63,1,1,52,81,8,134,9,0,21,0,0,0
